"empleado_id","mes_snapshot","activo","nombre","genero","edad","fecha_nacimiento","fecha_ingreso","antiguedad_meses","fecha_salida","motivo_salida","area","subarea","puesto","nivel_jerarquico","categoria_collar","manager_id","manager_nombre","span_of_control","es_posicion_critica","meses_hasta_jubilacion","años_en_puesto_actual","rating_performance","es_top_performer","unidades_producidas","tasa_scrap_porcentaje","eficiencia_vs_target","dias_perdidos_scrap","salario_base_mensual","horas_extra","costo_horas_extra","bonus_anual","ultimo_aumento_porcentaje","meses_desde_ultimo_aumento","horas_trabajadas","dias_ausente","dias_licencia_medica","incidentes_seguridad_count","turno_trabajo","duracion_turno_horas","horas_training_mes","horas_training_acumulado_año","ultimo_training_fecha","dias_time_to_fill","fuente_reclutamiento","apellido","nombre_completo"
1000,"2024-01-01",True,"Teresa Carmen","F",62,"1962-06-15","2012-01-01",143,NULL,NULL,"Estampado","Prensas Grandes","Técnico Setup",1,"Blue","1129","Daniel Pablo Mancini",0,True,36,"11.9",4,False,"1042","3.03","97.12","1.0","1406790.60","13.4","161141.47",NULL,"0.00",1,"150.0","2.0",0,0,"Noche","9.0",0,0,NULL,"47.00","Portal empleo","Gil","Teresa Carmen Gil"
1000,"2024-02-01",True,"Teresa Carmen","F",62,"1962-06-15","2012-01-01",144,NULL,NULL,"Estampado","Prensas Grandes","Técnico Setup",1,"Blue","1129","Daniel Pablo Mancini",0,True,35,"11.9",4,False,"1058","3.03","97.12","1.0","1406790.60","12.4","148672.19",NULL,"0.00",2,"136.0","3.0",0,0,"Noche","9.0",0,0,NULL,"47.00","Portal empleo","Gil","Teresa Carmen Gil"
1000,"2024-03-01",True,"Teresa Carmen","F",62,"1962-06-15","2012-01-01",145,NULL,NULL,"Estampado","Prensas Grandes","Técnico Setup",1,"Blue","1129","Daniel Pablo Mancini",0,True,34,"12.1",4,False,"966","2.66","109.92","1.0","1522143.00","13.8","179543.69",NULL,"9.50",0,"174.0","0.0",0,0,"Noche","9.0",0,0,NULL,NULL,NULL,"Gil","Teresa Carmen Gil"
1000,"2024-04-01",True,"Teresa Carmen","F",62,"1962-06-15","2012-01-01",147,NULL,NULL,"Estampado","Prensas Grandes","Técnico Setup",1,"Blue","1129","Daniel Pablo Mancini",0,True,31,"12.2",3,False,"988","3.58","110.05","1.0","1458045.24","14.2","176705.14",NULL,"9.50",2,"164.0","1.0",0,0,"Noche","9.0",104,104,"2024-04-15",NULL,NULL,"Gil","Teresa Carmen Gil"
1000,"2024-05-01",True,"Teresa Carmen","F",62,"1962-06-15","2012-01-01",148,NULL,NULL,"Estampado","Prensas Grandes","Técnico Setup",1,"Blue","1129","Daniel Pablo Mancini",0,True,31,"12.3",2,False,"932","3.77","95.62","1.0","1475541.78","14.0","176058.96",NULL,"9.50",3,"141.0","4.0",0,0,"Noche","9.0",0,104,"2024-04-15",NULL,NULL,"Gil","Teresa Carmen Gil"
1000,"2024-06-01",True,"Teresa Carmen","F",62,"1962-06-15","2012-01-01",149,NULL,NULL,"Estampado","Prensas Grandes","Técnico Setup",1,"Blue","1129","Daniel Pablo Mancini",0,True,30,"12.4",4,False,"972","7.90","105.57","3.0","1701801.00","9.0","129955.71",NULL,"11.80",0,"171.0","1.0",0,0,"Noche","9.0",0,104,"2024-04-15",NULL,NULL,"Gil","Teresa Carmen Gil"
1000,"2024-07-01",True,"Teresa Carmen","F",62,"1962-06-15","2012-01-01",150,NULL,NULL,"Estampado","Prensas Grandes","Técnico Setup",1,"Blue","1129","Daniel Pablo Mancini",0,True,28,"12.5",4,False,"1024","7.83","91.91","3.0","1511167.26","14.4","185461.44",NULL,"11.80",1,"132.0","5.0",0,0,"Noche","9.0",0,104,"2024-04-15",NULL,NULL,"Gil","Teresa Carmen Gil"
1000,"2024-08-01",True,"Teresa Carmen","F",62,"1962-06-15","2012-01-01",151,NULL,NULL,"Estampado","Prensas Grandes","Técnico Setup",1,"Blue","1129","Daniel Pablo Mancini",0,True,28,"12.6",3,False,"1044","8.55","88.85","3.0","1529301.27","12.6","164747.45",NULL,"11.80",2,"166.0","2.0",0,0,"Noche","9.0",0,104,"2024-04-15",NULL,NULL,"Gil","Teresa Carmen Gil"
1000,"2024-09-01",True,"Teresa Carmen","F",62,"1962-06-15","2012-01-01",152,NULL,NULL,"Estampado","Prensas Grandes","Técnico Setup",1,"Blue","1129","Daniel Pablo Mancini",0,True,27,"12.7",3,False,"941","3.56","110.10","1.0","1547652.87","11.7","154061.81",NULL,"0.00",0,"155.0","3.0",0,0,"Noche","9.0",120,224,"2024-09-20",NULL,NULL,"Gil","Teresa Carmen Gil"
1000,"2024-10-01",True,"Teresa Carmen","F",62,"1962-06-15","2012-01-01",153,NULL,NULL,"Estampado","Prensas Grandes","Técnico Setup",1,"Blue","1129","Daniel Pablo Mancini",0,True,25,"12.8",1,False,"1028","2.51","85.41","1.0","1566224.70","12.2","163385.71",NULL,"0.00",1,"177.0","0.0",0,0,"Noche","9.0",0,224,"2024-09-20",NULL,NULL,"Gil","Teresa Carmen Gil"
